case,phi1_deg,delta_ln_density,response_phi2_deg,response_distance_kpc,response_pm1_masyr,response_pm2_masyr,response_phi2_width_deg,response_distance_width_kpc,response_pm1_width_masyr,response_pm2_width_masyr,sigma_phi2_deg,sigma_distance_kpc,sigma_pm1_masyr,sigma_pm2_masyr,z_phi2,z_distance,z_pm1,z_pm2,n_control,n_perturbed,n_control_phi2,n_perturbed_phi2
G1,-39.0,-0.018649271766855387,-0.03830502085452453,-0.013537939212314498,-0.026143261902380033,-0.010605002491925308,-0.012004113677524242,-0.006200715590449657,-0.015052843417165937,-0.0015201586433927008,0.0049572294966356715,0.001004247793314765,0.002113557224387281,0.000677991265279754,-7.727102584320747,-13.480676086555516,-12.369318228399965,-15.641798110112013,6603,6481,6603,6481
G1,-37.0,-0.4341383656844015,-0.021774686734214732,-0.01662514315952457,-0.036714889215495816,-0.010254170814362418,-0.01577652747597222,-0.0004286477017646645,-0.0018762188422843523,0.0012699515259253329,0.004299095649315857,0.0007793892951401093,0.0016671583965502089,0.0006194494142644885,-5.064945865458908,-21.33098730402231,-22.022436075341503,-16.553685544343995,10012,6486,10012,6486
G1,-35.0,-0.31010967841130027,0.01859465336483987,0.009546112538834528,0.024873367934283408,0.008341097968970423,-0.023465787893990314,0.0030762391139932954,0.008064081949356927,0.003046151162996072,0.005090966767888089,0.0009781022377664216,0.0024374631094395915,0.0006954833398360504,3.6524798162360788,9.759830997456744,10.20461308232975,11.993239077354046,6027,4420,6027,4420
G1,-33.0,0.014961864223352179,0.04582178249985125,0.016913426247864294,0.03761956383235798,0.007716004926511033,-0.022603743199675008,-0.006892124232973897,-0.012925239018722251,-0.003930000644374862,0.005756613048380037,0.0013578538378188221,0.0029523171710412197,0.0008858549073341144,7.9598510642896025,12.455999148651406,12.742385608620214,8.710235573149925,4909,4983,4909,4983
G1,-31.0,0.3218086808890512,0.1300428861029682,0.03803100975574658,0.06287570458532166,0.024917550249189624,-0.03435620549049831,-0.011211564468000701,-0.04668952254738605,0.0006682228530905734,0.004299813636717947,0.0010922648373640873,0.0022504365932609982,0.0007039218347022948,30.243842429001205,34.81848765499499,27.939336204185842,35.398177781667826,9441,13025,9441,13025
G1,-29.0,-0.04602169191646012,-0.004645124712832183,-0.00035368055203299775,0.0032354227494426624,1.5641841783597954e-05,0.004646031120308619,-0.0013921696058299265,-0.002696395866300799,-0.0011322339942121673,0.00422626349041051,0.0011423385959272734,0.002447928946024972,0.0007919561097053709,-1.0991091121914378,-0.3096109623661133,1.3216979825727575,0.019750894767914782,9649,9215,9649,9215
G1,-27.0,0.04662290687893867,-0.03425128780779302,-0.012304543263568668,-0.01920301163162641,-0.0061308244525890565,0.006770363442002464,0.00048068491295433224,-0.00512106248112372,-0.0010100609832875349,0.005136859483540991,0.0013547750369011639,0.0024471893744715967,0.0007618562917142164,-6.667748634654608,-9.082351629177776,-7.846965924234111,-8.047219034963119,5301,5554,5301,5554
G1,-25.0,0.14656105470556893,-0.041973106883178346,-0.015936806707307127,-0.029600208981841902,-0.007453683552254287,0.004065979593598612,0.006107421305297345,0.011759680248288246,0.003449002555861745,0.004546918380316202,0.0009083978337323306,0.0017099897614669573,0.0005971019031285726,-9.231110693537333,-17.54386251872446,-17.310167375767577,-12.483101315202644,7501,8685,7501,8685
G1,-23.0,-0.037056600496223946,-0.009516346186524666,-0.006482557780142173,-0.011848655953908604,-0.002765910757009049,0.004115699570741177,0.002683174389018904,0.0056793614688358945,0.000908351525592696,0.0032436271620400214,0.0009123136982115671,0.0018936542929109356,0.0006480670384149182,-2.933859445343752,-7.105623638941412,-6.257032235643596,-4.267939260996952,11078,10675,11078,10675
G1,-21.0,0.02374761828152389,-0.026283370896044433,-0.007787745416079517,-0.0065440796887603625,-0.0027656225003052093,0.012345445245407705,-0.0012854326221952983,-0.005821850366776585,-0.00024297796933100274,0.004694738143370071,0.0012710446716685038,0.0022365313954061695,0.0007863728849909886,-5.598474311748765,-6.127043045510369,-2.9259950037821456,-3.51693522639314,6533,6690,6533,6690
G1,-19.0,0.06331790486160027,-0.025086156662140046,-0.012937098684888682,-0.01844637028536944,-0.0045481434135723475,0.008096166669478655,0.0012828095332964307,0.0012381998448719317,2.4463128340826423e-05,0.0047271686748389255,0.001226441343316869,0.0022915739940232217,0.0006268807467850626,-5.306803794767243,-10.54848546600748,-8.049650735032087,-7.255197159742665,7634,8133,7634,8133
G1,-17.0,0.007906059776792727,-0.03481484395099793,-0.015264248969558025,-0.021228304806685472,-0.005862569766314607,-0.0020697489678513092,-6.794272696534348e-05,-0.0008795242583074514,-0.0002794219372582174,0.004469493075140481,0.001177739864373512,0.0022039025334718645,0.0005192475099536216,-7.789439062930791,-12.960628599998783,-9.632143202469111,-11.290511083699261,8945,9016,8945,9016
G1,-15.0,-0.0025229371180680404,-0.03569888323209361,-0.015332368061686807,-0.019075413864173996,-0.007116945889741544,-0.003311483869290449,0.001026942269359274,0.001645139385237998,-0.00032067740699953315,0.004039152962110907,0.0012880442074028205,0.002418953304764746,0.0005488480292120459,-8.838210279968443,-11.903603908597674,-7.885813184818449,-12.967061027729285,8731,8709,8731,8709
G1,-13.0,-0.01294170630370145,-0.0311346132379981,-0.015338591219075326,-0.021180812559100204,-0.0064954659469078635,-0.0013568172064842565,0.00122165147474311,0.00044843115380804877,0.0007489260813991344,0.003537084604383226,0.0013832231620606007,0.002559290932950823,0.000629284137728345,-8.802337721697542,-11.089021381210303,-8.276047199791801,-10.321992177263308,8477,8368,8477,8368
G1,-11.0,-0.03188166819709787,-0.0344760775282521,-0.01627076473556066,-0.020899819228503702,-0.006788090029586247,0.0006864975123855865,-0.000595939337908219,-0.0012674337313599293,-0.0004379922450937074,0.004020363364088039,0.0013665735159268336,0.002762481109528165,0.000613322532332985,-8.575363569425148,-11.906249130348138,-7.565597156996819,-11.067732998110133,7521,7285,7521,7285
G1,-9.0,-0.07149164233241397,-0.0418799109445237,-0.017706508617850503,-0.021058266710980433,-0.007724087629346066,-0.0006612668120520582,-0.0021173831929892223,-0.004308496337135426,-0.0005376685781706206,0.005083845048000103,0.0018132473081232496,0.0026980037161697438,0.0006611534700990819,-8.237841741655469,-9.765081982212964,-7.80512887538794,-11.682745351375857,5667,5276,5667,5276
G1,-7.0,-0.06541917467531497,-0.04082805350970009,-0.020492001610323385,-0.02183550967174419,-0.008432525493222709,0.0029157383387029,0.0003027240851819213,-0.0008210429290872456,-0.0005519527114317378,0.0067256893989741835,0.002172907357647538,0.003542050649492585,0.0008685848018091873,-6.0704637231578475,-9.430683520952643,-6.164652014468576,-9.708350267767159,3711,3476,3711,3476
G1,-5.0,-0.05427199243921077,-0.03705855279942205,-0.021841615930366487,-0.023539729949607846,-0.008744333833886841,0.001600341711864045,0.003111350492155246,0.006380170100366525,-0.00027020538353009216,0.006458782903564284,0.0025921810814609958,0.00443316338357376,0.001021652263698244,-5.737699091723808,-8.425960704124957,-5.3099170756552345,-8.559011852265199,2442,2313,2442,2313
G1,-3.0,-0.06827163092196846,-0.03969917724300198,-0.019400908725993204,-0.019734829287321176,-0.007640291643659314,-0.002193371598396776,0.0020413600032927054,0.0011178428984241484,-0.0003254685954376217,0.009691765134431856,0.0041167227734039075,0.005359900882962727,0.0012343304150158523,-4.096176154946536,-4.712707120171608,-3.681939222057516,-6.189826930223696,1485,1387,1485,1387
G1,-1.0,-0.08789868849416402,-0.034567036482629154,-0.015268375360468767,-0.01159909692067096,-0.007907025621930241,0.002083713155165756,0.0002800690783612003,0.002228018380176111,-0.0013332042080788538,0.011990656653634522,0.0056129995405294645,0.00804133182681166,0.0014228810080759867,-2.8828309809164154,-2.720181117105263,-1.442434806880732,-5.55705331440335,820,751,820,751
G2,-59.0,0.13706378447837567,-0.05347251429943167,-0.026615708283560302,-0.06327949662647114,-0.0073003868964232055,-0.014004977195055474,0.002484284728090126,0.005495585653412766,0.0003070065780947477,0.007669525864462996,0.0012432807172714651,0.003210086271675947,0.000927362153096271,-6.972075620371574,-21.407641825228175,-19.712709027422395,-7.872207068240514,2614,2998,2614,2998
G2,-57.0,0.11177812131212314,-0.04577196063105837,-0.02895387001762728,-0.06473476139960432,-0.008763584677896397,0.0036895128150384315,-0.0003649439541596605,0.0011825078454894833,0.0009422238587600135,0.008013517128972976,0.0014120130744427056,0.004403485024839617,0.0008697160500076631,-5.711844112190046,-20.50538379685671,-14.70080198625453,-10.076374556752379,3619,4047,3619,4047
