case,phi1_center_deg,phi1_lo_deg,phi1_hi_deg,n_total,phi2_deg_median,phi2_deg_width,phi2_deg_nvalid,distance_kpc_median,distance_kpc_width,distance_kpc_nvalid,pm1_masyr_median,pm1_masyr_width,pm1_masyr_nvalid,pm2_masyr_median,pm2_masyr_width,pm2_masyr_nvalid,rv_kms_median,rv_kms_width,rv_kms_nvalid
G2,-31.0,-32.0,-30.0,13608,-0.05406792352534394,0.2102592399052529,13608,7.532834850632208,0.045110070508191255,13608,-12.956298530847427,0.08053411676582607,13608,-3.069878729648006,0.03806653422768824,13608,-80.7642901821109,2.6891958537220972,13608
G2,-29.0,-30.0,-28.0,9201,0.3617197160077311,0.24586065529922085,9201,7.747238440092106,0.06325524784738468,9201,-12.545910946441975,0.129341040634403,9201,-2.9167033536382787,0.0392761367430326,9201,-91.675238815233,4.513895076156369,9201
G2,-27.0,-28.0,-26.0,5609,0.4082218856641109,0.2414641152368614,5609,7.884127355358347,0.0584456432281835,5609,-12.242529443091147,0.10889559876782529,5609,-2.831364756600606,0.03294194746158592,5609,-105.4135246346361,4.96496001413961,5609
G2,-25.0,-26.0,-24.0,8724,0.2730635501336559,0.21702863883318263,8724,7.959189303591229,0.04953558384338314,8724,-12.055297901680703,0.09602738048708138,8724,-2.7726253934515404,0.030064712139251024,8724,-119.28828713544817,4.124972170843604,8724
G2,-23.0,-24.0,-22.0,10268,0.2145829436752049,0.18339567718408525,10268,8.05747725022577,0.05635590133754329,10268,-11.839676602592702,0.11246211643852513,10268,-2.707111336585295,0.033351358657620664,10268,-129.62154013725421,4.165883890526364,10268
G2,-21.0,-22.0,-20.0,6586,0.15793449336113954,0.23134212303763138,6586,8.190847861322599,0.06276946839339669,6586,-11.535798753541755,0.11480516608921211,6586,-2.6295475090308242,0.03413275350874253,6586,-142.74010694329175,4.7162384236056045,6586
G2,-19.0,-20.0,-18.0,8494,0.009882686872196837,0.26104703374257054,8494,8.300057103843482,0.060397340307026294,8494,-11.284775523368744,0.11275777060188975,8494,-2.567664270892879,0.032301993860585826,8494,-154.83602007751716,4.2069321766443455,8494
G2,-17.0,-18.0,-16.0,9184,-0.13166061373720714,0.23109717307395825,9184,8.424557881210784,0.06032964593373113,9184,-11.016665723004731,0.1148050896347434,9184,-2.5040475976833623,0.02950104216593911,9184,-166.07809329014816,4.346227682021271,9184
G2,-15.0,-16.0,-14.0,8746,-0.2697141792616528,0.21154603041017533,8746,8.559888416127327,0.06643758336094305,8746,-10.727263469534144,0.12098462675480666,8746,-2.441207851467654,0.030558702955991574,8746,-177.44006109939846,4.347576981813599,8746
G2,-13.0,-14.0,-12.0,8401,-0.39477298922479515,0.1972945301516144,8401,8.706279507299271,0.0697265270918727,8401,-10.427389092524603,0.12478485564259241,8401,-2.3771628552179824,0.03164292971146036,8401,-188.6333844335206,4.0276104759414775,8401
