case,phi1_deg,response_rv_kms,sigma_rv_kms,z_rv,n_control,n_perturbed
G3,-10.0,-0.0801352907086823,0.1356737281562069,-0.5906470751391099,13188,12472
G3,-6.0,-0.07764960162509738,0.17020756080808258,-0.45620536042256743,6153,5752
G3,-2.0,-0.22726961166873139,0.24420742257379446,-0.9306417031613983,2305,2104
G4,-58.0,0.14180548811539495,0.2238714811250766,0.6334236384319469,6233,7054
G4,-54.0,-0.06709596657444195,0.1847409032452974,-0.3631895557279618,9888,10544
G4,-50.0,-0.45300423242510135,0.1830579210060674,-2.474649717070078,12010,12314
G4,-46.0,0.24246746902642613,0.16044931369969462,1.511177975371344,13453,13716
G4,-42.0,0.45671966931882757,0.18330157173306577,2.4916298589295724,11745,10331
G4,-38.0,1.5417214000435422,0.1334712473042433,11.55096270681609,16615,13565
G4,-34.0,-2.280556123352568,0.1984331879172419,-11.492816031881176,10936,9768
G4,-30.0,1.7889423326662097,0.0921241561991724,19.418819194376304,19090,21364
G4,-26.0,-0.25793204255921864,0.15776384798127197,-1.6349248947695392,12802,13968
G4,-22.0,0.29347637462203124,0.11208920830632842,2.6182393386167035,17611,16409
G4,-18.0,0.07248093251348564,0.12341373152305503,0.5873003888545856,16579,17606
G4,-14.0,-0.021107170898176264,0.11808906074477606,-0.17873942569324727,17208,17485
G4,-10.0,-0.019466480510459405,0.13597931992829138,-0.1431576545663344,13188,12780
G4,-6.0,-0.047589778973986085,0.1590251243597817,-0.29925949855771217,6153,5877
G4,-2.0,-0.13985432906130768,0.24230431525201337,-0.5771846403802154,2305,2157
G5,-58.0,0.1378502340623271,0.21568085339929913,0.6391398767655982,6233,7053
G5,-54.0,-0.0648063069404543,0.18826898492251246,-0.34422189595980035,9888,10547
G5,-50.0,-0.4487123306409444,0.17801733215758614,-2.5206103540734515,12010,12319
G5,-46.0,0.25279712248337205,0.16077006531447977,1.572414130633583,13453,13715
G5,-42.0,0.45616010353338776,0.1808160416901626,2.5227855851144065,11745,10332
G5,-38.0,1.5412308033985482,0.13356063299430668,11.53955899163975,16615,13534
G5,-34.0,-2.3002542699709636,0.20657170249275408,-11.135379348735578,10936,9762
G5,-30.0,1.7995256812143907,0.09258014533993895,19.437490345330854,19090,21390
G5,-26.0,-0.265806225483459,0.15332097419219068,-1.7336586000964616,12802,13977
G5,-22.0,0.28812604350892457,0.11015967694611904,2.6155309410525223,17611,16413
G5,-18.0,0.07122733381356738,0.12397802538028399,0.5745157949974459,16579,17603
G5,-14.0,-0.021764378220780145,0.1118326188136016,-0.1946156537481805,17208,17485
G5,-10.0,-0.03339042108817125,0.13679799156948047,-0.24408560904355142,13188,12774
G5,-6.0,-0.04552746753037695,0.15658285185293247,-0.29075640781621337,6153,5873
G5,-2.0,-0.13588628251338264,0.24456451854688185,-0.5556254984196896,2305,2157
