phi1,N,phi2_med,phi2_med_err,phi2_width,pm1_med,pm1_med_err,pm1_width,pm2_med,pm2_med_err,pm2_width,N_rv,rv_med,rv_med_err,rv_width
-33.0,52,0.1614571405576687,0.08759743430846594,0.3397997784844324,-12.973816530279748,0.03151100358686332,0.17508567284916124,-3.1539135721909446,0.023052126372838044,0.21454605882895753,16,-63.92122089323425,2.363967331634278,5.677358831753094
-31.0,52,0.06536796742404874,0.027317877778721113,0.16982409105308177,-12.886030821685507,0.03283425832035647,0.18407612203621726,-3.0060063919625755,0.07382436459953978,0.2875124411494758,19,-82.6574946517794,1.7069987854223925,5.276211685748988
-29.0,47,0.1208495836208629,0.029464689045868526,0.20564823989945208,-12.674250447371566,0.01572704562820082,0.14296090886331705,-3.003505897764143,0.011282742790498679,0.25938755769024807,28,-90.45922522538218,2.483805142048425,7.570820582196633
-27.0,46,0.07029329990700398,0.020102001864925327,0.1464512046571342,-12.403259175931682,0.026529868314138838,0.22200207784147954,-3.0277657155600397,0.024490578214954484,0.15512081799805097,10,-90.3084380139058,7.481650561093787,15.826280675874266
-25.0,48,0.08381886304957961,0.035779045514196084,0.16346861169398194,-12.291741440272336,0.04986526232032151,0.25358459392848537,-2.8593309190153167,0.05294508597850567,0.28376632853789063,19,-117.71234144284621,3.071841394628123,12.77868073345307
-23.0,23,0.033866653741670714,0.06572738921554755,0.1950903807715245,-12.001864897586914,0.03157144721452987,0.125720527836571,-2.7820225822609537,0.07907268082158891,0.2577299287465263,11,-132.07572317513112,3.2980032084386792,7.109082466913847
-21.0,15,-0.1660299905638182,0.12791745622772713,0.37418864192141604,-11.683067404360045,0.16266327478184106,0.38542653216439954,-2.793339044791277,0.059682327537945,0.16842713135886117,6,-137.46646378157925,2.961113572693705,6.307811635010315
-19.0,19,-0.06860913155003585,0.04470325192097495,0.24512011076300677,-11.344524301912895,0.10062523198255935,0.24371769231388005,-2.63890229035211,0.07486944952013674,0.19959657251464547,5,-155.86532528867863,4.808897795726082,8.76823832728694
-17.0,42,-0.06601408480564223,0.02321886254569676,0.18034558270966114,-11.145943070438712,0.06621629022707065,0.33425467330693603,-2.619789220066658,0.05576236091037834,0.15373120341116542,18,-166.48782467544828,0.9602534232609514,5.8211698921602535
-15.0,50,-0.09773918135194888,0.014461913579900842,0.19371466186821754,-10.867424581272289,0.04788064487767585,0.2560537032094653,-2.580696823206547,0.02935513586667504,0.18368557970296062,18,-180.87712792872662,1.2543373820909238,6.8957737162803525
-13.0,62,-0.15181444991837628,0.019859803839239715,0.1281226541849738,-10.557166619284843,0.023606796645554873,0.2993547859895344,-2.499833421674085,0.01809501671090019,0.16695033262765355,14,-191.4086047681306,1.752958683030272,4.779027743700015
-11.0,43,-0.2832373226252976,0.0268240045960062,0.17457284981216986,-10.244017071597579,0.07173244431176418,0.4210607206222675,-2.459001473173264,0.03127458772521918,0.20242133058939843,11,-200.0366666831932,3.7293801018540194,9.463514445448414
-9.0,32,-0.33470880526304947,0.06042059210746678,0.1778137541547811,-9.951196387155498,0.059993000413801845,0.22596345120723957,-2.304799873961435,0.06827817125199975,0.2839686871641196,12,-209.8179348560677,6.054595248209225,11.024147699454833
-7.0,23,-0.4797397761549273,0.043863023551893754,0.12530899108915852,-9.808994153853105,0.03908065130010385,0.20509857745593213,-2.312646518264251,0.035724678096997975,0.16430572437789254,8,-223.95791897417953,4.89277664784305,11.01738170932834
-5.0,17,-0.825883982928062,0.15590805724472967,0.2908479156783582,-9.397764240662775,0.11913292529892239,0.28201231270088767,-2.3073010822476068,0.08323357905808848,0.28063912584364187,4,,,
-3.0,34,-1.095970671711812,0.028794170388881546,0.14948621043668672,-8.952003283084451,0.045589360975319515,0.26361542981073655,-2.142746033144043,0.03582096627998954,0.17947783151281332,1,,,
-1.0,53,-1.1787053960874576,0.06629035841385111,0.2927633562947427,-8.5331904445493,0.050196506312251366,0.23292342160148502,-2.1155175622895888,0.02704412807869705,0.22110461477138965,3,,,
