case,phi1_deg,response_phi2_deg,valid_phi2_deg,response_distance_kpc,valid_distance_kpc,response_pm1_masyr,valid_pm1_masyr,response_pm2_masyr,valid_pm2_masyr
G1,-3.0,-0.025461433566781766,True,-0.009217121289486485,True,-0.011719052134351315,True,0.0028615293069416126,True
G1,-1.0,-0.030598329041027217,True,-0.0059560920793853,True,-0.008064113730075206,True,0.002320357921532512,True
G1,1.0,-0.02609152242695867,False,-0.00937836646553869,False,-0.007559469893724469,False,0.0020027974048713038,False
G1,3.0,-0.031734881240623736,False,-0.012677147471423567,False,-0.005572358339908767,False,0.0010966194221713188,False
G1,5.0,-0.030902563010226647,False,-0.013524898908864103,False,-0.013109282534548683,False,0.00047794609844453717,False
G1,7.0,nan,False,nan,False,nan,False,nan,False
G1,9.0,-0.03800859797201683,False,-0.012100190996253701,False,-0.009754231452618,False,5.585525831386384e-05,False
G1,11.0,nan,False,nan,False,nan,False,nan,False
G2,-89.0,nan,False,nan,False,nan,False,nan,False
G2,-87.0,nan,False,nan,False,nan,False,nan,False
G2,-85.0,nan,False,nan,False,nan,False,nan,False
G2,-83.0,0.04476350673008156,False,-0.0027988499690758673,False,0.01578141508173303,False,-0.0008751553052386285,False
G2,-81.0,nan,False,nan,False,nan,False,nan,False
G2,-79.0,nan,False,nan,False,nan,False,nan,False
G2,-77.0,0.04705730846643941,False,-0.012039395045527534,False,-0.03166168122683466,False,-0.01023623523685302,False
G2,-75.0,0.048624711999841086,False,-0.009079800845748665,False,0.010761673818016959,False,-0.0012032717855787745,False
G2,-73.0,0.034230464767450286,False,-0.008466486260321204,False,-0.013914939257208658,False,-0.0008438638721637304,False
G2,-71.0,0.05843486794215402,False,-0.010672645965942529,False,-0.022243184560036156,False,-0.004017603405011894,False
G2,-69.0,0.03839506250457714,False,-0.012150322280372272,False,-0.023063318743830052,False,-0.00015171119004575573,False
G2,-67.0,0.03074591495861967,False,-0.011762092995659224,False,-0.032531206963144044,False,0.0003618880108984257,False
G2,-65.0,0.0495026641788725,False,-0.012076429767224894,False,-0.029976628267601058,False,-0.000824150723897521,False
G2,-63.0,0.030281224759764025,False,-0.012234886641271814,False,-0.027337166914007227,False,-0.00014898930838835867,False
G2,-61.0,0.03158280819866799,False,-0.012069066209734913,False,-0.027086484607890426,False,0.0003588900253514993,False
G2,-59.0,0.027392149348902883,True,-0.01251686691519005,True,-0.030239050954161684,True,-0.00041491880855826224,True
G2,-57.0,0.023849769474800886,True,-0.013554011768745156,True,-0.032219742274563146,True,0.0006537957779002568,True
G2,-55.0,0.02254866108941639,True,-0.013343777895880926,True,-0.031473539626421854,True,0.0006545759695484321,True
